timestamp,elapsed_sec,pid,cpu_percent,working_set_mb,private_mb,threads,handles
2026-08-17 17:39:02,0,22980,0,54.32,63.91,13,211
2026-08-17 17:39:07,5,22980,0,54.32,63.91,13,211
2026-08-17 17:39:12,10,22980,0,54.32,63.91,13,211
2026-08-17 17:39:17,15,22980,0,54.32,63.91,13,211
2026-08-17 17:39:22,20,22980,0,54.32,63.91,13,211
2026-08-17 17:39:27,25,22980,0,54.32,63.91,13,211
2026-08-17 17:39:32,30,22980,0,54.32,63.91,13,211
2026-08-17 17:39:37,35,22980,0,54.32,63.91,13,211
2026-08-17 17:39:42,40,22980,0,54.32,63.91,13,211
2026-08-17 17:39:47,45,22980,0,54.32,63.91,13,211
2026-08-17 17:39:52,50,22980,0,54.32,63.91,13,211
2026-08-17 17:39:57,55,22980,0,54.32,63.91,13,211
2026-08-17 17:40:02,60,22980,0,54.32,63.91,13,211
2026-08-17 17:40:07,65,22980,0,54.32,63.91,13,211
